"nom_lieu";"raison_sociale";"statut";"type_declarant";"code_postal";"departement";"region";"code_naf";"numero";"date_validite";"latitude";"longitude"
"MJC";"COMMUNE DE SAINT GERVAIS LES BAINS";"Valide";"Personne morale";"74170";"Haute-Savoie";"Auvergne-Rhône-Alpes";"8411Z - Administration publique générale";"PLATESV-R-2021-010720";"2021-10-14";"45.832474856192896";"6.861470554574543"
"Entrepont - Le Réacteur";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010619";"2021-10-12";"48.830306799915725";"2.28468371260374"
"théâtre Municipal ""Raymond Devos""";"COMMUNE DE TOURCOING";"Valide";"Personne morale";"59200";"Nord";"Hauts-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010682";"2021-10-13";"50.69342830288075";"3.154149639048232"
"Maison des Hauts d'Issy";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010615";"2021-10-12";"48.830306799915725";"2.28468371260374"
"Theatre du Risosius Petit Chapteau";"THEATRE DU RISORIUS";"Valide";"Personne morale";"58490";"Nièvre";"Bourgogne-Franche-Comté";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010732";"2021-10-14";"46.86440048547812";"3.120991587134076"
"Ecole maternelle Chabanne";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010625";"2021-10-12";"48.830306799915725";"2.28468371260374"
"Maison des Hauts d'Issy";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Invalide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010616";"";"48.830306799915725";"2.28468371260374"
"Le Temps des Cerises";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010629";"2021-10-12";"48.830306799915725";"2.28468371260374"
"LA BELLEVILLOISE";"ORIZA";"Valide";"Personne morale";"75020";"Paris";"Île-de-France";"90.04Z";"PLATESV-R-2021-010678";"2021-11-05";"48.85870400054469";"2.414701692063775"
"Espace Andrée Chedid";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010630";"2021-10-12";"48.830306799915725";"2.28468371260374"
"Salle Jean Genet";"Communauté de Communes du Grand Autunois-Morvan";"Valide";"Personne morale";"71490";"Saône-et-Loire";"Bourgogne-Franche-Comté";"8411Z - Administration publique générale";"PLATESV-R-2021-010663";"2021-10-13";"47.040922002305884";"4.252503924722756"
"CIRQUE MADONA BOUGLIONE";"SKM PARTNERS";"Valide";"Personne morale";"30127";"Paris";"Île-de-France";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010766";"2021-10-15";"48.854473360733344";"2.330463707347445"
"TOUS EN SCENE";"ASSOCIATION TOUS EN SCENE";"Valide";"Personne morale";"32100";"Gers";"Occitanie";"8552Z - Enseignement culturel";"PLATESV-R-2021-010747";"2021-10-14";"43.90234707366281";"0.45433110759211"
"CASINO BARRIERE LE RUHL";"SOCIETE NICOISE D'EXPLOITATIONS BALNEAIRES";"Valide";"Personne morale";"06000";"Alpes-Maritimes";"Provence-Alpes-Côte d'Azur";"9200Z";"PLATESV-R-2021-010647";"2021-10-13";"43.72368306630774";"7.321258346758294"
"CIRQUE MADONA BOUGLIONE";"SKM PARTNERS";"Valide";"Personne morale";"30127";"Paris";"Île-de-France";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010767";"2021-10-15";"48.854473360733344";"2.330463707347445"
"espace municpal Jean Vilar";"COMMUNE D ARCUEIL";"Valide";"Personne morale";"94110";"Val-de-Marne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010781";"2021-10-15";"48.80542661031852";"2.345029267731373"
"salle Mère Marie PIA";"Mairie de Quincy-sous-Sénart";"Valide";"Personne morale";"91480";"Essonne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010789";"2021-10-17";"48.67179847694884";"2.547554108044273"
"Conservatoire à rayonnement régional";"COMMUNE DE GRENOBLE";"Valide";"Personne morale";"38000";"Isère";"Auvergne-Rhône-Alpes";"8411Z - Administration publique générale";"PLATESV-R-2021-010763";"2021-10-15";"45.213685965181114";"5.678682579240443"
"Maison du Val de Seine";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010623";"2021-10-12";"48.830306799915725";"2.28468371260374"
"Supersonic";"SUPERSONIC";"Invalide";"Personne morale";"75012";"Paris";"Île-de-France";"5630Z - Débits de boissons";"PLATESV-R-2021-010695";"";"48.839099389275724";"2.467319402317011"
"salle Mère Marie PIA";"Mairie de Quincy-sous-Sénart";"Invalide";"Personne morale";"91480";"Essonne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010792";"";"48.67179847694884";"2.547554108044273"
"RESTAURANT LES COCOTIERS";"BOUC ANGELO";"Valide";"Personne physique autre que particulier employeur";"97434";"";"";"5610A - Restauration traditionnelle";"PLATESV-R-2021-010730";"2021-10-14";"";""
"FAMILIA THEATRE";"FAMILIA THEATRE";"Valide";"Personne morale";"62600";"Pas-de-Calais";"Hauts-de-France";"arts du spectacle";"PLATESV-R-2021-010780";"2021-10-15";"50.37787080618496";"1.579297935021504"
"ESCAL salle de spectacle";"ESPACE LOISIRS";"Valide";"Personne morale";"51420";"Marne";"Grand-Est";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010709";"2021-10-14";"49.27288714122694";"4.080973426972235"
"LE PHENIX";"COMMUNE D'OUTREAU";"Valide";"Personne morale";"62230";"Pas-de-Calais";"Hauts-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010668";"2021-10-13";"50.71155788207352";"1.59959582049686"
"Ecole élémentaire Jules Ferry";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010699";"2021-10-13";"48.830306799915725";"2.28468371260374"
"LE GRENIER DINER SPECTACLE PARIS";"MOLINA Sébastien";"Invalide";"Personne physique autre que particulier employeur";"75017";"";"";"90.04  - Gestion de salles de spectacles";"PLATESV-R-2021-010752";"";"";""
"Halle des Epinettes";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010614";"2021-10-12";"48.830306799915725";"2.28468371260374"
"MOD KOZ";"Aubry Tiphaine";"Invalidé";"Personne physique autre que particulier employeur";"35000";"";"";"5610A - Restauration traditionnelle";"PLATESV-R-2021-010740";"";"";""
"Salle Cardiccia";"ANIMA";"Valide";"Personne morale";"20243";"Haute-Corse";"Corse";"8552Z - Enseignement culturel";"PLATESV-R-2021-010546";"2021-10-10";"41.94944134853026";"9.222726367378021"
"CASINO BARRIERE LE RUHL";"SOCIETE NICOISE D'EXPLOITATIONS BALNEAIRES";"Invalide";"Personne morale";"06000";"Alpes-Maritimes";"Provence-Alpes-Côte d'Azur";"9200Z";"PLATESV-R-2021-010648";"";"43.72368306630774";"7.321258346758294"
"Maison du Val de Seine";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Invalide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010621";"";"48.830306799915725";"2.28468371260374"
"La Passerelle, scène nationale de Saint-Brieuc";"LA PASSERELLE SCENE NATIONALE DE SAINT BRIEUC";"Invalidé";"Personne morale";"22000";"Côtes d'Armor";"Bretagne";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010538";"";"48.49715855065944";"-2.737796818101927"
"CASINO BARRIERE LE RUHL";"SOCIETE NICOISE D'EXPLOITATIONS BALNEAIRES";"Invalide";"Personne morale";"06000";"Alpes-Maritimes";"Provence-Alpes-Côte d'Azur";"9200Z";"PLATESV-R-2021-010649";"";"43.72368306630774";"7.321258346758294"
"Complexe Mention Marie";"COMMUNE DE SABLE SUR SARTHE";"Valide";"Personne morale";"72300";"Sarthe";"Pays-de-la-Loire";"751 A";"PLATESV-R-2021-010808";"2021-10-15";"47.798184240650514";"-0.241070192359156"
"Salle Joël le Theule";"COMMUNE DE SABLE SUR SARTHE";"Valide";"Personne morale";"72300";"Sarthe";"Pays-de-la-Loire";"751 A";"PLATESV-R-2021-010806";"2021-10-15";"47.798184240650514";"-0.241070192359156"
"PUB THE QUAY";"QUAI OUEST";"Valide";"Personne morale";"81100";"Tarn";"Occitanie";"5610A - Restauration traditionnelle";"PLATESV-R-2021-010843";"2021-10-16";"43.66612379959813";"2.220826800809026"
"salle Mère Marie PIA";"Mairie de Quincy-sous-Sénart";"Invalide";"Personne morale";"91480";"Essonne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010790";"";"48.67179847694884";"2.547554108044273"
"Le Tamanoir";"LE TAMANOIR CAFE";"Valide";"Personne morale";"92230";"Hauts-de-Seine";"Île-de-France";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010811";"2021-10-22";"48.92275968734629";"2.328449672778645"
"Petit Chapiteau Theatre du Risorius";"THEATRE DU RISORIUS";"Invalide";"Personne morale";"58490";"Nièvre";"Bourgogne-Franche-Comté";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010724";"";"46.86440048547812";"3.120991587134076"
"Espace Kiki de Montparnasse";"ACTE LA COMPAGNIE DES GENS";"Valide";"Personne morale";"21400";"Côte-d'Or";"Bourgogne-Franche-Comté";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010908";"2021-10-17";"47.92273444953259";"4.530660470019869"
"FAMILIA THEATRE";"FAMILIA THEATRE";"Valide";"Personne morale";"62600";"Pas-de-Calais";"Hauts-de-France";"arts du spectacle";"PLATESV-R-2021-010819";"2021-10-15";"50.37787080618496";"1.579297935021504"
"Théâtre de poche";"COMMUNE DE GRENOBLE";"Valide";"Personne morale";"38000";"Isère";"Auvergne-Rhône-Alpes";"8411Z - Administration publique générale";"PLATESV-R-2021-010791";"2021-10-15";"45.213685965181114";"5.678682579240443"
"Salle du Foyer Saint Louis le Brassin";"COMMUNE DE SCHILTIGHEIM";"Valide";"Personne morale";"67300";"Bas-Rhin";"Grand-Est";"8411Z - Administration publique générale";"PLATESV-R-2021-010868";"2021-10-16";"48.61286454377936";"7.743256723708718"
"Théâtre 145";"COMMUNE DE GRENOBLE";"Valide";"Personne morale";"38000";"Isère";"Auvergne-Rhône-Alpes";"8411Z - Administration publique générale";"PLATESV-R-2021-010793";"2021-10-15";"45.213685965181114";"5.678682579240443"
"Atelier Janusz Korczak";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Invalide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010626";"";"48.830306799915725";"2.28468371260374"
"médiathèque Louis Pergaud";"COMMUNE D ARCUEIL";"Valide";"Personne morale";"94110";"Val-de-Marne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010898";"2021-10-17";"48.80542661031852";"2.345029267731373"
"CIRQUE MADONA BOUGLIONE";"SKM PARTNERS";"Valide";"Personne morale";"30127";"Paris";"Île-de-France";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010666";"2021-10-15";"48.854473360733344";"2.330463707347445"
"Centre Artististique Rudolf Noureev";"COMMUNE DE SAINTE-GENEVIEVE-DES-BOIS";"Invalide";"Personne morale";"91700";"Essonne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010932";"";"48.65032909082129";"2.2991278406597"
"Chapelle des Pénitents Blancs";"INSTITUT SUPERIEUR DES TECHNIQUES DU SPECTACLE";"Valide";"Personne morale";"84000";"Vaucluse";"Provence-Alpes-Côte d'Azur";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010853";"2021-10-16";"43.996639891561024";"4.845568850662445"
"Salle des Calandres";"COMMUNE DE ERAGNY";"Invalide";"Personne morale";"95610";"Val-d'Oise";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010968";"";"49.02316263961318";"2.116059843569682"
"Théâtre municipal de Grenoble";"COMMUNE DE GRENOBLE";"Valide";"Personne morale";"38000";"Isère";"Auvergne-Rhône-Alpes";"8411Z - Administration publique générale";"PLATESV-R-2021-010729";"2021-10-14";"45.213685965181114";"5.678682579240443"
"Salle des Calandres";"COMMUNE DE ERAGNY";"Valide";"Personne morale";"95610";"Val-d'Oise";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010969";"2021-10-20";"49.02316263961318";"2.116059843569682"
"Salle des Calandres";"COMMUNE DE ERAGNY";"Valide";"Personne morale";"95610";"Val-d'Oise";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010651";"2021-10-13";"49.02316263961318";"2.116059843569682"
"Daki Ling, le jardin des muses";"CITY ZEN CAFE";"Valide";"Personne morale";"13001";"Bouches-du-Rhône";"Provence-Alpes-Côte d'Azur";"9004Z";"PLATESV-R-2021-010914";"2021-10-17";"43.291272881481476";"5.373267440298921"
"Le Rive Gauche";"COMMUNE DE SAINT ETIENNE DU ROUVRAY";"Valide";"Personne morale";"76800";"Seine-Maritime";"Normandie";"8411Z - Administration publique générale";"PLATESV-R-2021-010642";"2021-10-13";"49.37056693948174";"1.12284890219261"
"galerie Julio Gonzalez";"COMMUNE D ARCUEIL";"Invalide";"Personne morale";"94110";"Val-de-Marne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010962";"";"48.80542661031852";"2.345029267731373"
"Salle du cheval blanc";"COMMUNE DE SCHILTIGHEIM";"Valide";"Personne morale";"67300";"Bas-Rhin";"Grand-Est";"8411Z - Administration publique générale";"PLATESV-R-2021-010865";"2021-10-16";"48.61286454377936";"7.743256723708718"
"Le Rive Gauche";"COMMUNE DE SAINT ETIENNE DU ROUVRAY";"Invalide";"Personne morale";"76800";"Seine-Maritime";"Normandie";"8411Z - Administration publique générale";"PLATESV-R-2021-010564";"";"49.37056693948174";"1.12284890219261"
"Cité Mondiale";"CONGRES ET EXPOSITIONS DE BORDEAUX SAS";"Valide";"Personne morale";"33000";"Gironde";"Nouvelle-Aquitaine";"8230Z";"PLATESV-R-2021-010990";"2021-10-20";"44.843853243055406";"-0.630420855296093"
"WANDERLUST";"WANDERLUST";"Invalide";"Personne morale";"75013";"Paris";"Île-de-France";"90.04 - Gestion de salles de spectacles";"PLATESV-R-2021-010772";"";"48.83994070615744";"2.361745287380767"
"Salle Gérard Philipe";"COMMUNE DE SAINTE-GENEVIEVE-DES-BOIS";"Valide";"Personne morale";"91700";"Essonne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-011068";"2021-10-22";"48.65032909082129";"2.2991278406597"
"DTATION TAVERNE";"LA TAVERNE";"Valide";"Personne morale";"06400";"Alpes-Maritimes";"Provence-Alpes-Côte d'Azur";"5630Z - Débits de boissons";"PLATESV-R-2021-010947";"2021-10-19";"43.50629692028842";"7.057098593270103"
"Théâtre Benoit XII";"INSTITUT SUPERIEUR DES TECHNIQUES DU SPECTACLE";"Valide";"Personne morale";"84000";"Vaucluse";"Provence-Alpes-Côte d'Azur";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010892";"2021-10-17";"43.996639891561024";"4.845568850662445"
"LA NOUBA RESTAURANT DANCING SPECTACLES";"I.R.D.SARL IRD LA NOUBA";"Valide";"Personne morale";"89440";"Yonne";"Bourgogne-Franche-Comté";"5610A - Restauration traditionnelle";"PLATESV-R-2021-011027";"2021-10-28";"47.58039406414368";"3.860897516323053"
"Espace Chapiteaux";"ETS PUBLIC PARC GRANDE HALLE VILLETTE";"Invalide";"Personne morale";"75019";"Paris";"Île-de-France";"90.01Z - Arts du spectacle vivant";"PLATESV-R-2021-010972";"";"48.88167694638392";"2.403654858139889"
"Ecole maternelle Jules Ferry";"CULTURES LOISIRS ANIMATIONS DE LA VILLE D'ISSY LES MOULINEAUX - CLAVIM";"Valide";"Personne morale";"92130";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010700";"2021-10-13";"48.830306799915725";"2.28468371260374"
"STATION TAVERNE";"SAS LA TAVERNE";"Invalide";"Personne morale";"06400";"Alpes-Maritimes";"Provence-Alpes-Côte d'Azur";"5630Z - Débits de boissons";"PLATESV-R-2021-010944";"";"43.50629692028842";"7.057098593270103"
"salle Mère Marie PIA";"Mairie de Quincy-sous-Sénart";"Invalide";"Personne morale";"91480";"Essonne";"Île-de-France";"8411Z - Administration publique générale";"PLATESV-R-2021-010788";"";"48.67179847694884";"2.547554108044273"
"Festival musical Cabaret Frappé";"COMMUNE DE GRENOBLE";"Valide";"Personne morale";"38000";"Isère";"Auvergne-Rhône-Alpes";"8411Z - Administration publique générale";"PLATESV-R-2021-010785";"2021-10-15";"45.213685965181114";"5.678682579240443"
"Le 33 TOURS";"LE 33 TOURS";"Valide";"Personne morale";"17100";"Charente-Maritime";"Nouvelle-Aquitaine";"5630Z - Débits de boissons";"PLATESV-R-2021-011008";"2021-10-20";"45.807765060818305";"-0.555861277048401"
"MJC Théâtre de Colombes";"MAISON DES JEUNES ET CULTURE THEATRE DE COLOMBES";"Valide";"Personne morale";"92000";"Hauts-de-Seine";"Île-de-France";"9499Z - Autres organisations fonctionnant par adhésion volontaire";"PLATESV-R-2021-010977";"2021-10-20";"48.920613415995376";"2.220398136819999"
